(in EUR millions),2025,2024
Net income,1754,489
"Effective portion of changes in fair value hedge and cost of hedging recognized directly in
other comprehensive income",153,-103
Change in fair value and cost of hedging transferred to profit or loss,116,2
Exchange difference resulting from the translation,-30,15
Deferred tax on items of comprehensive income that will be reclassified to profit or loss,-73,21
"Items of the recognized income and expenses of equity shares, net of tax",23,4
Total of other comprehensive income that will be reclassified to profit or loss,189,-61
Remeasurements of defined benefit pension plans,80,100
Fair value of equity instruments revalued through OCI,-3,1
Deferred tax on items of comprehensive income that will not be reclassified to profit or loss,12,1
"Items revalued through OCI of equity shares, after tax",12,NA
Total of other comprehensive income that will not be reclassified to profit or loss,101,102
"Total of other comprehensive income, after tax",290,41
RECOGNIZED INCOME AND EXPENSES,2044,530
Equity holders of Air France-KLM,1883,358
Non-controlling interests,161,172
